path,subject,section,topic_path,title,content_type,level,checked,quality_status,has_article,has_image,image_paths,image_type,image_quality,image_didactic_value,has_exercises,has_solutions,exercise_link_ok,solution_link_ok,placement_ok,needs_subtopics,umlauts_ok,no_mojibake,no_dev_artifacts,no_unnecessary_info,no_duplicates,frontmatter_ok,tags_ok,learning_goals_ok,common_mistakes_ok,key_takeaways_ok,navigation_topic_path_ok,reading_quality,structure_quality,language_quality,didactic_depth,examples_ok,misconceptions_ok,abgrenzung_ok,einstieg_ok,niveau_ok,aktualitaet_ok,redundancy_risk,priority,next_action,recommended_fix_type,notes
src/content/articles/elektrotechnik/mikrocontroller-und-atmega/arduino-und-avr/ueberblick/grundlagen-arduino-und-avr.md,elektrotechnik,Mikrocontroller und ATmega,mikrocontroller-und-atmega > arduino-und-avr > ueberblick,Grundlagen: Arduino und AVR,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/arduino-und-avr.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
src/content/articles/elektrotechnik/mikrocontroller-und-atmega/timer-und-zeitbasis/ueberblick/grundlagen-8-bit-und-16-bit-timer.md,elektrotechnik,Mikrocontroller und ATmega,mikrocontroller-und-atmega > timer-und-zeitbasis > 8-bit-und-16-bit-timer,Grundlagen: 8-Bit- und 16-Bit-Timer,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/atmega-timer.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
src/content/articles/elektrotechnik/digitale-technik/logikgatter-und-wahrheitstabellen/ueberblick/grundlagen-logikgatter-und-wahrheitstabellen.md,elektrotechnik,Digitale Technik,digitale-technik > logikgatter-und-wahrheitstabellen > ueberblick,Grundlagen: Logikgatter und Wahrheitstabellen,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/logikgatter-und-wahrheitstabellen.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
src/content/articles/elektrotechnik/grundlagen/netzwerkanalyse/ueberblick/grundlagen-netzwerkanalyse.md,elektrotechnik,Grundlagen Elektrotechnik,grundlagen > netzwerkanalyse > ueberblick,Grundlagen: Netzwerkanalyse,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/netzwerkanalyse.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
src/content/articles/elektrotechnik/wechselstrom/grundlagen/ueberblick/grundlagen-wechselstrom.md,elektrotechnik,Wechselstrom,wechselstrom > grundlagen > ueberblick,Grundlagen: Wechselstrom,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/wechselstrom-grundlagen.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
src/content/articles/elektrotechnik/bauteile/dioden-und-richtung/ueberblick/grundlagen-dioden-und-richtung.md,elektrotechnik,Bauteile,bauteile > dioden-und-richtung > ueberblick,Grundlagen: Dioden und Richtung,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v179/dioden-und-richtung.svg,,ok,ok,yes,yes,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,partial,partial,partial,partial,partial,partial,yes,yes,yes,yes,open,high,review,review_after_import,"v179: neue ruhige Überblicksseite mit Bild; passende Aufgabe und Lösung wurden im selben Block ergänzt, sofern sinnvoll."
public/images/overviews/v179/arduino-und-avr.svg,elektrotechnik,Illustrationen,v179 > arduino-und-avr.svg,Arduino und AVR einordnen,illustration,einfach,partial,improve,open,yes,,svg,ok,ok,open,open,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,not_applicable,not_applicable,not_applicable,partial,partial,partial,partial,partial,partial,partial,not_applicable,yes,yes,yes,open,medium,review_image_fit,review_after_import,v179: didaktisches SVG für Elektrotechnik-Sanierungsblock.
public/images/overviews/v179/atmega-timer.svg,elektrotechnik,Illustrationen,v179 > atmega-timer.svg,8-Bit- und 16-Bit-Timer,illustration,einfach,partial,improve,open,yes,,svg,ok,ok,open,open,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,not_applicable,not_applicable,not_applicable,partial,partial,partial,partial,partial,partial,partial,not_applicable,yes,yes,yes,open,medium,review_image_fit,review_after_import,v179: didaktisches SVG für Elektrotechnik-Sanierungsblock.
public/images/overviews/v179/logikgatter-und-wahrheitstabellen.svg,elektrotechnik,Illustrationen,v179 > logikgatter-und-wahrheitstabellen.svg,Logikgatter und Wahrheitstabellen,illustration,einfach,partial,improve,open,yes,,svg,ok,ok,open,open,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,not_applicable,not_applicable,not_applicable,partial,partial,partial,partial,partial,partial,partial,not_applicable,yes,yes,yes,open,medium,review_image_fit,review_after_import,v179: didaktisches SVG für Elektrotechnik-Sanierungsblock.
public/images/overviews/v179/netzwerkanalyse.svg,elektrotechnik,Illustrationen,v179 > netzwerkanalyse.svg,Netzwerkanalyse ruhig lesen,illustration,einfach,partial,improve,open,yes,,svg,ok,ok,open,open,open,open,partial,open,yes,yes,yes,partial,yes,yes,yes,not_applicable,not_applicable,not_applicable,partial,partial,partial,partial,partial,partial,partial,not_applicable,yes,yes,yes,open,medium,review_image_fit,review_after_import,v179: didaktisches SVG für Elektrotechnik-Sanierungsblock.
