path,subject,section,topic_path,title,content_type,level,checked,quality_status,has_article,has_image,image_paths,image_type,image_quality,image_didactic_value,has_exercises,has_solutions,exercise_link_ok,solution_link_ok,placement_ok,needs_subtopics,umlauts_ok,no_mojibake,no_dev_artifacts,no_unnecessary_info,no_duplicates,frontmatter_ok,tags_ok,learning_goals_ok,common_mistakes_ok,key_takeaways_ok,navigation_topic_path_ok,reading_quality,structure_quality,language_quality,didactic_depth,examples_ok,misconceptions_ok,abgrenzung_ok,einstieg_ok,niveau_ok,aktualitaet_ok,redundancy_risk,priority,next_action,recommended_fix_type,notes
src/content/articles/elektrotechnik/praxis/fehlerbaum-und-systematische-fehlersuche/ueberblick/grundlagen-fehlerbaum-und-systematische-fehlersuche.md,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche/ueberblick,Grundlagen: Fehlerbaum und systematische Fehlersuche,article,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,improve,ok,ok,medium,partial,yes,yes,yes,yes,ok,medium,high,review_after_import,manual_review,"v182: neue ruhige Überblicksseite mit Bild, Aufgaben und Lösungen."
public/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche,Fehlerbaum und systematische Fehlersuche – Bild,illustration,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,not_needed,not_needed,ok,not_needed,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: neues SVG für Überblicksseite.
src/content/exercises/elektrotechnik/praxis/fehlerbaum-und-systematische-fehlersuche/symptom-hypothese-und-gegenprobe-trennen.md,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche,"Symptom, Hypothese und Gegenprobe trennen",exercise,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: neue Aufgabe mit direkt passender Lösung.
src/content/solutions/elektrotechnik/praxis/fehlerbaum-und-systematische-fehlersuche/symptom-hypothese-und-gegenprobe-trennen-loesung.md,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche,"Lösung – Symptom, Hypothese und Gegenprobe trennen",solution,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: Lösung direkt zur neuen Aufgabe.
src/content/exercises/elektrotechnik/praxis/fehlerbaum-und-systematische-fehlersuche/messreihenfolge-fuer-einen-fehlerbaum-planen.md,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche,Messreihenfolge für einen Fehlerbaum planen,exercise,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: neue Aufgabe mit direkt passender Lösung.
src/content/solutions/elektrotechnik/praxis/fehlerbaum-und-systematische-fehlersuche/messreihenfolge-fuer-einen-fehlerbaum-planen-loesung.md,elektrotechnik,Praxis,praxis/fehlerbaum-und-systematische-fehlersuche,Lösung – Messreihenfolge für einen Fehlerbaum planen,solution,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/fehlerbaum-und-systematische-fehlersuche.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: Lösung direkt zur neuen Aufgabe.
src/content/articles/elektrotechnik/praxis/wackelkontakte-und-kontaktprobleme/ueberblick/grundlagen-wackelkontakte-und-kontaktprobleme.md,elektrotechnik,Praxis,praxis/wackelkontakte-und-kontaktprobleme/ueberblick,Grundlagen: Wackelkontakte und Kontaktprobleme,article,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/wackelkontakte-und-kontaktprobleme.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,improve,ok,ok,medium,partial,yes,yes,yes,yes,ok,medium,high,review_after_import,manual_review,"v182: neue ruhige Überblicksseite mit Bild, Aufgaben und Lösungen."
public/images/overviews/v182/wackelkontakte-und-kontaktprobleme.svg,elektrotechnik,Praxis,praxis/wackelkontakte-und-kontaktprobleme,Wackelkontakte und Kontaktprobleme – Bild,illustration,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/wackelkontakte-und-kontaktprobleme.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,not_needed,not_needed,ok,not_needed,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: neues SVG für Überblicksseite.
src/content/exercises/elektrotechnik/praxis/wackelkontakte-und-kontaktprobleme/wackelkontakt-reproduzierbar-pruefen.md,elektrotechnik,Praxis,praxis/wackelkontakte-und-kontaktprobleme,Wackelkontakt reproduzierbar prüfen,exercise,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/wackelkontakte-und-kontaktprobleme.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: neue Aufgabe mit direkt passender Lösung.
src/content/solutions/elektrotechnik/praxis/wackelkontakte-und-kontaktprobleme/wackelkontakt-reproduzierbar-pruefen-loesung.md,elektrotechnik,Praxis,praxis/wackelkontakte-und-kontaktprobleme,Lösung – Wackelkontakt reproduzierbar prüfen,solution,einfach,partial,open,yes,yes,/schlaufuchs-platform/images/overviews/v182/wackelkontakte-und-kontaktprobleme.svg,svg,ok,Struktur-/Prüfablaufbild zum Überblick,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,improve,ok,ok,medium,partial,partial,partial,yes,yes,ok,medium,high,review_after_import,manual_review,v182: Lösung direkt zur neuen Aufgabe.
